时间,对阵,盘口及下盘水位,比分,盘口胜负,单场盈亏,累计盈亏
2016.6.11 03:00,法国VS罗马尼亚,罗马尼亚+1.5 @1.900,2:1,红,90,90
2016.6.11 21:00,阿尔巴尼亚VS瑞士,阿尔巴尼亚+0.5 @ 2.050,0:1,黑,-100,-10
2016.6.12 00:00,威尔士VS斯洛伐克,,2:1,平手盘不下,0,-10
2016.6.12 03:00,英格兰VS俄罗斯,俄罗斯+0.5 @ 1.975,1:1,红,97.5,87.5
2016.6.12 21:00,土耳其VS克罗地亚,土耳其+0/0.5 @ 2.100,0:1,黑,-100,-12.5
2016.6.13 00:00,波兰VS北爱尔兰,北爱尔兰+0.5/1 @　1.950,1:0,黑半,-50,-62.5
2016.6.13 03:00,德国VS乌克兰,乌克兰+1 @ 1.825,2:0,黑,-100,-162.5
2016.6.13 21:00,西班牙VS捷克,捷克+1 @ 2.075,1:0,走水,0,-162.5
2016.6.14 00:00,爱尔兰VS瑞典,爱尔兰+0/0.5 @ 1.900,1:1,红半,45,-117.5
2016.6.14 03:00,比利时VS意大利,意大利+0/0.5 @　1.825,0:2,红,82.5,-35
2016.6.15 00:00,奥地利VS匈牙利,匈牙利+0.5/1 @　1.975,0:2,红,97.5,62.5
2016.6.15 03:00,葡萄牙VS冰岛,冰岛+1 @ 1.800,1:1,红,80,142.5
2016.6.15 21:00,俄罗斯VS斯洛伐克,斯洛伐克+0/0.5 @ 1.850,1:2,红,85,227.5
2016.6.16 00:00,罗马尼亚VS瑞士,罗马尼亚+0/0.5 @ 1.875,1:1,红半,43.75,271.25
2016.6.16 03:00,法国VS阿尔巴尼亚,阿尔巴尼亚+1.5/2 @ 2.000,2:0,黑半,-50,221.25
2016.6.16 21:00,英格兰VS威尔士,威尔士+1 @ 1.900,2:1,走水,0,221.25
2016.6.17 00:00,乌克兰VS北爱尔兰,北爱尔兰+1 @ 1.850,0:2,红,85,306.25
2016.6.17 03:00,德国VS波兰,波兰+1 @ 1.850,0:0,红,85,391.25
2016.6.17 21:00,意大利VS瑞典,瑞典+0.5 @ 2.050,1:0,黑,-100,291.25
2016.6.18 00:00,捷克VS克罗地亚,捷克+0.5 @ 2.025,2:2,红,102.5,393.75
2016.6.18 03:00,西班牙VS土耳其,土耳其+1/1.5 @ 1.900,3:0,黑,-100,293.75
2016.6.18 21:00,比利时VS爱尔兰,爱尔兰+0.5/1 @ 2.000,3:0,黑,-100,193.75
2016.6.19 00:00,冰岛VS匈牙利,,1:1,平手盘不下,0,193.75
2016.6.19 03:00,葡萄牙VS奥地利,奥地利+0.5/1 @ 1.850,0:0,红,85,278.75
2016.6.20 03:00,罗马尼亚VS阿尔巴尼亚,阿尔巴尼亚+0/0/5 @ 2.000,0:1,红,100,378.75
2016.6.20 03:00,瑞士VS法国,瑞士+0.5/1 @ 2.100,0:0,红,110,488.75
2016.6.21 03:00,俄罗斯VS威尔士,威尔士+0/0.5 @ 1.975,0:3,红,97.5,586.25
2016.6.21 03:00,斯洛伐克VS英格兰,斯洛伐克+1 @ 1.900,0:0,红,90,676.25
2016.6.22 00:00,乌克兰VS波兰,乌克兰+0/0.5 @ 1.975,0:1,黑,-100,576.25
2016.6.22 00:00,北爱尔兰VS德国,北爱尔兰+1.5/2 @ 2.075,0:1,红,107.5,683.75
2016.6.22 03:00,捷克VS土耳其,土耳其+0/0.5 @ 1.875,0:2,红,87.5,771.25
2016.6.22 03:00,克罗地亚VS西班牙,克罗地亚+0.5 @ 1.925,2:1,红,92.5,863.75
2016.6.23 00:00,冰岛VS奥地利,冰岛+0.5 @ 1.850,2:1,红,85,948.75
2016.6.23 00:00,匈牙利VS葡萄牙,匈牙利+1 @ 2.075,3:3,红,107.5,1056.25
2016.6.23 03:00,意大利VS爱尔兰,爱尔兰+0.5 @ 2.050,0:1,红,105,1161.25
2016.6.23 03:00,瑞典VS比利时,瑞典+0.5/1 @ 1.850,0:1,黑半,-50,1111.25
2016.6.25 21:00,瑞士VS波兰,,1:1,平手盘不下,0,1111.25
2016.6.26 00:00,威尔士VS北爱尔兰,北爱尔兰+0.5 @ 1.850,1:0,黑,-100,1011.25
2016.6.26 03:00,克罗地亚VS葡萄牙,,0:0,平手盘不下,0,1011.25
2016.6.26 21:00,法国VS爱尔兰,爱尔兰+1 @ 2.100,2:1,走水,0,1011.25
2016.6.27 00:00,德国VS斯洛伐克,斯洛伐克+1 @ 2.075,3:0,黑,-100,911.25
2016.6.27 03:00,匈牙利VS比利时,匈牙利+0.5/1 @ 2.050,0:4,黑,-100,811.25
2016.6.28 00:00,意大利VS西班牙,意大利+0/0.5 @ 2.050,2:0,红,105,916.25
2016.6.28 03:00,英格兰VS冰岛,冰岛+1 @ 1.850,1:2,红,85,1001.25
2016.7.1 03:00,波兰VS葡萄牙,波兰+0/0.5 @ 2.025,1:1,红半,51.25,1052.5
2016.7.2 03:00,威尔士VS比利时,威尔士+0.5/1 @ 1.900,3:1,红,90,1142.5
2016.7.3 03:00,德国VS意大利,意大利+0/0.5 @ 2.075,1:1,红半,53.75,1196.25
2016.7.4 03:00,法国VS冰岛,冰岛+1/1.5 @ 1.850,5:2,黑,-100,1096.25
2016.7.7 03:00,葡萄牙VS威尔士,威尔士+0/0.5 @ 2.075,2:0,黑,-100,996.25
2016.7.8 03:00,德国VS法国,,0:2,平手盘不下,0,996.25
2016.7.11 03:00,葡萄牙VS法国,葡萄牙+0.5 @ 1.900,0:0,红,90,1086.25
