日期,对阵,盘口,下盘球队,下盘水位,比分,累计盈亏,净胜场次
2018/6/14,俄罗斯VS沙特,1/1.5,沙特,0.82 ,5:0,-100,-1
2018/6/15,埃及VS乌拉圭,-1,埃及,0.95 ,0:1,-100,-1
2018/6/15,摩洛哥VS伊朗,0/0.5,伊朗,1.05 ,0:1,5,0
2018/6/15,葡萄牙VS西班牙,-0.5,葡萄牙,0.88 ,3:3,93,1
2018/6/16,法国VS澳大利亚,1.5/2,澳大利亚,1.02 ,2:1,195,2
2018/6/16,阿根廷VS冰岛,1.5,冰岛,0.86 ,1:1,281,3
2018/6/16,秘鲁VS丹麦,-0/0.5,秘鲁,0.97 ,0:1,181,2
2018/6/16,克罗地亚VS尼日利亚,0.5/1,尼日利亚,0.93 ,2:0,81,1
2018/6/17,哥斯达黎加VS塞尔维亚,-0.5,哥斯达黎加,0.94 ,0:1,-19,0
2018/6/17,德国VS墨西哥,1,墨西哥,1.03 ,0:1,84,1
2018/6/17,巴西VS瑞士,1,瑞士,1.04 ,1:1,188,2
2018/6/18,瑞典VS韩国,0/0.5,韩国,1.00 ,1:0,88,1
2018/6/18,比利时VS巴拿马,1.5/2,巴拿马,1.02 ,3:0,-12,0
2018/6/18,突尼斯VS英格兰,-1/1.5,突尼斯,0.81 ,1:2,28.5,0.5
2018/6/19,哥伦比亚VS日本,0.5/1,日本,0.87 ,1:2,115.5,1.5
2018/6/19,波兰VS塞内加尔,0/0.5,塞内加尔,0.84 ,1:2,199.5,2.5
2018/6/19,俄罗斯VS埃及,0.5,埃及,0.93 ,3:1,99.5,1.5
2018/6/20,葡萄牙VS摩洛哥,0.5/1,摩洛哥,1.00 ,1:0,49.5,1
2018/6/20,乌拉圭VS沙特,1.5/2,沙特,0.99 ,1:0,148.5,2
2018/6/20,伊朗VS西班牙,-1.5/2,伊朗,1.03 ,0:1,251.5,3
2018/6/21,丹麦VS澳大利亚,0.5,澳大利亚,1.00 ,1:1,351.5,4
2018/6/21,法国VS秘鲁,1,秘鲁,0.83 ,1:0,351.5,4
2018/6/21,阿根廷VS克罗地亚,0.5,克罗地亚,0.85 ,0:3,436.5,5
2018/6/22,巴西VS哥斯达黎加,1.5/2,哥斯达黎加,0.91 ,2:0,386.5,4.5
2018/6/22,尼日利亚VS冰岛,0,,,2:0,,
2018/6/22,塞尔维亚VS瑞士,0,,,1:2,,
2018/6/23,比利时VS突尼斯,1/1.5,突尼斯,1.06 ,5:2,286.5,3.5
2018/6/23,韩国VS墨西哥,-0.5/1,韩国,0.97 ,1:2,236.5,3
2018/6/23,德国VS瑞典,1,瑞典,1.09 ,2:1,236.5,3
2018/6/24,英格兰VS巴拿马,1.5/2,巴拿马,0.89 ,6:1,136.5,2
2018/6/24,日本VS塞内加尔,0,,,,,
2018/6/24,波兰VS哥伦比亚,-0/0.5,波兰,1.04 ,0:3,36.5,1
2018/6/25,俄罗斯VS乌拉圭,0,,,,,
2018/6/25,沙特VS埃及,-0.5/1,沙特,0.88 ,2:1,124.5,2
2018/6/25,伊朗VS葡萄牙,-0.5/1,伊朗,1.08 ,1:1,232.5,3
2018/6/25,西班牙VS摩洛哥,1/1.5,摩洛哥,0.90 ,2:2,322.5,4
2018/6/26,澳大利亚VS秘鲁,0,,,0:2,,
2018/6/26,丹麦VS法国,-0.5,丹麦,0.85 ,0:0,407.5,5
2018/6/26,冰岛VS克罗地亚,-0.5,冰岛,1.10 ,1:2,307.5,4
2018/6/26,尼日利亚VS阿根廷,-1/1.5,尼日利亚,0.86 ,1:2,350.5,4.5
2018/6/27,韩国VS德国,-2,韩国,0.88 ,2:0,438.5,5.5
2018/6/27,墨西哥VS瑞典,0/0.5,瑞典,1.02 ,0:3,540.5,6.5
2018/6/27,塞尔维亚VS巴西,-1,塞尔维亚,1.12 ,0:2,440.5,5.5
2018/6/27,瑞士VS哥斯达黎加,1,哥斯达黎加,0.86 ,2:2,526.5,6.5
2018/6/28,日本VS波兰,0,,,,,
2018/6/28,塞内加尔VS哥伦比亚,-0.5/1,塞内加尔,0.91 ,0:1,476.5,6
2018/6/28,英格兰VS比利时,0/0.5,比利时,0.90 ,0:1,566.5,7
2018/6/28,巴拿马VS突尼斯,-0.5,巴拿马,1.08 ,1:2,466.5,6
2018/6/30,法国VS阿根廷,0/0.5,阿根廷,0.83 ,4:3,366.5,5
2018/6/30,乌拉圭VS葡萄牙,0,,,2:1,,
2018/7/1,俄罗斯VS西班牙,-1,俄罗斯,0.88 ,1:1,454.5,6
2018/7/1,克罗地亚VS丹麦,0.5,丹麦,0.99 ,1:1,553.5,7
2018/7/2,巴西VS墨西哥,1,墨西哥,1.03 ,,,
2018/7/2,比利时VS日本,1/1.5,日本,1.03 ,,,
