win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9035197924214853
Golden State Warriors,San Antonio Spurs,0.626790442216175
Portland Trail Blazers,Utah Jazz,0.7156769774805519
Boston Celtics,Brooklyn Nets,0.9086948995370068
Indiana Pacers,Dallas Mavericks,0.6342654144229686
Houston Rockets,Los Angeles Lakers,0.8046650175979252
Memphis Grizzlies,Minnesota Timberwolves,0.669308399275424
Charlotte Hornets,Milwaukee Bucks,0.6931648046364598
New Orleans Pelicans,Denver Nuggets,0.5619401277771559
Miami Heat,Orlando Magic,0.6427098786088399
Oklahoma City Thunder,Philadelphia 76ers,0.9473917293231378
Sacramento Kings,Phoenix Suns,0.5849686038012759
Toronto Raptors,Detroit Pistons,0.7506685501921527
Atlanta Hawks,Washington Wizards,0.6913224285272671
Boston Celtics,Chicago Bulls,0.5958699605648738
Portland Trail Blazers,Los Angeles Clippers,0.5642067828144061
San Antonio Spurs,Sacramento Kings,0.8635631580464225
Indiana Pacers,Brooklyn Nets,0.7873433162464432
Dallas Mavericks,Houston Rockets,0.5296491205916788
Detroit Pistons,Orlando Magic,0.7089400166909606
Miami Heat,Charlotte Hornets,0.5655087116850405
Golden State Warriors,New Orleans Pelicans,0.9175281047314201
Oklahoma City Thunder,Phoenix Suns,0.9400898356017175
Cleveland Cavaliers,Toronto Raptors,0.5628333223623575
Utah Jazz,Los Angeles Lakers,0.8677947112703229
Indiana Pacers,Chicago Bulls,0.5365544012355947
Charlotte Hornets,Boston Celtics,0.5685974015417646
Cleveland Cavaliers,Orlando Magic,0.8804549163768715
Portland Trail Blazers,Denver Nuggets,0.6317760900272074
Milwaukee Bucks,Brooklyn Nets,0.7671623902364922
Memphis Grizzlies,New York Knicks,0.517999897560336
Atlanta Hawks,Philadelphia 76ers,0.8993249649307073
Sacramento Kings,Minnesota Timberwolves,0.633110059569786
San Antonio Spurs,New Orleans Pelicans,0.9398843541628311
Detroit Pistons,Milwaukee Bucks,0.7791403328202214
Houston Rockets,Dallas Mavericks,0.5649265434489572
Los Angeles Clippers,Utah Jazz,0.6984976332649271
Washington Wizards,Memphis Grizzlies,0.5140714225313224
San Antonio Spurs,Miami Heat,0.7082616347237785
Oklahoma City Thunder,Los Angeles Lakers,0.9571758783366809
Golden State Warriors,Phoenix Suns,0.9449608990197783
Atlanta Hawks,Sacramento Kings,0.793903875980035
Chicago Bulls,Brooklyn Nets,0.7357066751611672
Los Angeles Clippers,Phoenix Suns,0.8955288863098099
Toronto Raptors,Denver Nuggets,0.8639350205157965
Cleveland Cavaliers,Houston Rockets,0.813257895325757
Detroit Pistons,New York Knicks,0.7559231388673787
Indiana Pacers,Los Angeles Lakers,0.8986648159737043
Miami Heat,Sacramento Kings,0.7832628143146038
Minnesota Timberwolves,Memphis Grizzlies,0.5358275193602956
New Orleans Pelicans,Milwaukee Bucks,0.5847616874843417
Orlando Magic,Philadelphia 76ers,0.7810120393859928
Golden State Warriors,Portland Trail Blazers,0.7169738128473371
San Antonio Spurs,Utah Jazz,0.8631980432783899
Atlanta Hawks,Los Angeles Lakers,0.913997238319992
Boston Celtics,Chicago Bulls,0.6872780322782311
Detroit Pistons,Brooklyn Nets,0.7478708982421824
Charlotte Hornets,Philadelphia 76ers,0.9467282411738601
Oklahoma City Thunder,Los Angeles Clippers,0.5623177965761225
Memphis Grizzlies,New Orleans Pelicans,0.6783302990885101
Houston Rockets,New York Knicks,0.6322097427394388
Portland Trail Blazers,Phoenix Suns,0.7765272488593578
Utah Jazz,Dallas Mavericks,0.5620983286489314
Toronto Raptors,Washington Wizards,0.6574366435627679
Cleveland Cavaliers,Boston Celtics,0.7434862958049656
Golden State Warriors,Oklahoma City Thunder,0.7215584604523079
Indiana Pacers,Milwaukee Bucks,0.6463959593841954
Minnesota Timberwolves,Denver Nuggets,0.6169007147189797
Orlando Magic,Sacramento Kings,0.6077199630275758
Charlotte Hornets,Brooklyn Nets,0.8206426900838962
Chicago Bulls,New York Knicks,0.6866504764043978
Portland Trail Blazers,Dallas Mavericks,0.5348027944091434
Golden State Warriors,Los Angeles Lakers,0.9634359328060133
Los Angeles Clippers,Memphis Grizzlies,0.695536596070254
New Orleans Pelicans,Phoenix Suns,0.6795581789293201
Toronto Raptors,Miami Heat,0.6604077460840887
San Antonio Spurs,Utah Jazz,0.7866699282469831
Atlanta Hawks,Washington Wizards,0.5509459785462361
Atlanta Hawks,Houston Rockets,0.6691745202999626
Detroit Pistons,Denver Nuggets,0.7626659694537515
Indiana Pacers,Chicago Bulls,0.6555105499176954
Milwaukee Bucks,Sacramento Kings,0.5513869172311442
Oklahoma City Thunder,Minnesota Timberwolves,0.9097926500141971
Washington Wizards,Orlando Magic,0.5261193105667159
Cleveland Cavaliers,Philadelphia 76ers,0.9567066495917738
San Antonio Spurs,Los Angeles Clippers,0.7644520641767607
Boston Celtics,Denver Nuggets,0.8130712408501196
Dallas Mavericks,Milwaukee Bucks,0.7339161554894218
Phoenix Suns,Los Angeles Lakers,0.5275900085747088
Portland Trail Blazers,Memphis Grizzlies,0.6026042729312703
Utah Jazz,New York Knicks,0.6329330655612794
Toronto Raptors,Sacramento Kings,0.8442235452796084
Chicago Bulls,Orlando Magic,0.6328100855627611
Charlotte Hornets,Indiana Pacers,0.6266653989168833
Golden State Warriors,New Orleans Pelicans,0.9502781446848921
Los Angeles Clippers,Detroit Pistons,0.7108709018781226
Oklahoma City Thunder,Miami Heat,0.744059052499596
Utah Jazz,Philadelphia 76ers,0.8581624844082946
Washington Wizards,Houston Rockets,0.5469249446070027
Minnesota Timberwolves,Brooklyn Nets,0.5696507173843797
